t,NHS.region,date,deaths_adj,hosp_adm_adj,known_hosp_beds_adj,icu_bed_adj
60,South West,2020-03-01,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
61,East of England,2020-03-02,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
61,London,2020-03-02,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
61,Midlands,2020-03-02,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
61,North East and Yorkshire,2020-03-02,1.15805145890617,0.884806279883831,0.909329923856404,0.970380501656806
61,North West,2020-03-02,1.15020735317589,0.856296045928035,0.88416753434134,0.963001938222206
61,South East,2020-03-02,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
61,South West,2020-03-02,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665822
62,East of England,2020-03-03,1.10559476141864,0.644596153925706,0.726394185085303,0.952944484960366
62,London,2020-03-03,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
62,Midlands,2020-03-03,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437948
62,North East and Yorkshire,2020-03-03,1.15805145890617,0.857144174011132,0.882764944730359,0.962285669725346
62,North West,2020-03-03,1.15020735317589,0.823963753892316,0.852204206962061,0.953339583214936
62,South East,2020-03-03,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
62,South West,2020-03-03,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
63,East of England,2020-03-04,1.10559476141864,0.644596153925705,0.726394185085303,0.952944484960366
63,London,2020-03-04,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
63,Midlands,2020-03-04,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
63,North East and Yorkshire,2020-03-04,1.15805145890617,0.82399352946786,0.84950573389262,0.952143631788292
63,North West,2020-03-04,1.15020735317589,0.785941433914543,0.813007814229703,0.941348764601047
63,South East,2020-03-04,1.07061200881982,0.682518351858144,1.12536016254498,1.03767846884118
63,South West,2020-03-04,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
64,East of England,2020-03-05,1.08426643303843,0.644596153925706,0.726394185085303,0.952944484960366
64,London,2020-03-05,1.29232568187868,1.84709196450641,4.50393883466631,2.86103564594732
64,Midlands,2020-03-05,1.15356614529391,0.783770790357575,1.22252419296886,1.26318670437949
64,North East and Yorkshire,2020-03-05,1.15805145890617,0.78489140278653,0.808631098948971,0.939483536020234
64,North West,2020-03-05,1.15020735317589,0.742046637219936,0.765965754316885,0.926531236289591
64,South East,2020-03-05,1.05304308052244,0.682518351858144,1.12536016254498,1.03767846884118
64,South West,2020-03-05,1.09508527665081,0.687149708284968,0.672287358409493,0.880694495665823
