NeutTitreRelConvPlasma,Efficacy,Lower,Upper,NeutRatio_Reported,Study
0.775,79.2162158688884,75.7778836780141,82.6545480597628,-0.11069829749369,LogisticModel
0.776,79.2381330519446,75.8024200772554,82.6738460266339,-0.110138278741812,LogisticModel
0.777,79.2600071257073,75.8269043631544,82.6931098882602,-0.109578981199086,LogisticModel
0.778,79.2818382171183,75.8513366944689,82.7123397397677,-0.109020403010311,LogisticModel
0.779,79.3036264526159,75.8757172349514,82.7315356702803,-0.108462542327436,LogisticModel
0.78,79.3253719581372,75.9000461452471,82.7506977710274,-0.10790539730952,LogisticModel
0.781,79.3470748591209,75.9243235836664,82.7698261345755,-0.1073489661227,LogisticModel
0.782,79.3687352805095,75.9485497072883,82.7889208537307,-0.106793246940152,LogisticModel
0.783,79.3903533467518,75.9727246815481,82.8079820119555,-0.106238237942057,LogisticModel
0.784,79.4119291818057,75.9968486566588,82.8270097069526,-0.105683937315562,LogisticModel
0.785,79.4334629091402,76.0209217957742,82.8460040225063,-0.105130343254747,LogisticModel
0.786,79.4549546517383,76.0449442508526,82.8649650526239,-0.104577453960592,LogisticModel
0.787,79.4764045320989,76.0689161826183,82.8838928815794,-0.104025267640935,LogisticModel
0.788,79.4978126722396,76.0928377419786,82.9027876025007,-0.103473782510445,LogisticModel
0.789,79.5191791936993,76.1167090882402,82.9216492991583,-0.10292299679058,LogisticModel
0.79,79.5405042175397,76.1405303730298,82.9404780620495,-0.102372908709559,LogisticModel
0.791,79.5617878643486,76.1643017493122,82.959273979385,-0.101823516502323,LogisticModel
0.792,79.5830302542419,76.1880233733299,82.9780371351539,-0.101274818410506,LogisticModel
0.793,79.6042315068657,76.2116953968522,82.9967676168792,-0.100726812682396,LogisticModel
0.794,79.6253917413991,76.2353179693302,83.0154655134679,-0.100179497572904,LogisticModel
0.795,79.6465110765559,76.2588912448892,83.0341309082227,-0.0996328713435297,LogisticModel
0.796,79.6675896305877,76.2824153715308,83.0527638896446,-0.0990869322623309,LogisticModel
0.797,79.6886275212853,76.3058905022013,83.0713645403694,-0.0985416786038876,LogisticModel
0.798,79.7096248659817,76.3293167850347,83.0899329469287,-0.0979971086492706,LogisticModel
0.799,79.7305817815538,76.3526943695056,83.108469193602,-0.0974532206860086,LogisticModel
0.8,79.7514983844251,76.3760234024947,83.1269733663556,-0.0969100130080564,LogisticModel
0.801,79.7723747905677,76.3993040357227,83.1454455454127,-0.0963674839157623,LogisticModel
0.802,79.7932111155043,76.42253641379,83.1638858172186,-0.0958256317158365,LogisticModel
0.803,79.8140074743109,76.4457206828941,83.1822942657276,-0.095284454721319,LogisticModel
0.804,79.8347639816185,76.4688569917045,83.2006709715324,-0.0947439512515487,LogisticModel
0.805,79.8554807516157,76.4919454826496,83.2190160205817,-0.0942041196321315,LogisticModel
0.806,79.8761578980504,76.5149863030651,83.2373294930358,-0.0936649581949093,LogisticModel
0.807,79.8967955342326,76.5379795978349,83.2556114706303,-0.0931264652779296,LogisticModel
0.808,79.9173937730357,76.5609255086169,83.2738620374544,-0.0925886392254138,LogisticModel
0.809,79.9379527268993,76.583824182338,83.2920812714605,-0.0920514783877277,LogisticModel
0.81,79.958472507831,76.6066757580145,83.3102692576476,-0.0915149811213502,LogisticModel
0.811,79.9789532274087,76.6294803807684,83.3284260740489,-0.0909791457888439,LogisticModel
0.812,79.9993949967823,76.6522381926132,83.3465518009514,-0.0904439707588247,LogisticModel
0.813,80.0197979266763,76.6749493314869,83.3646465218658,-0.0899094544059318,LogisticModel
0.814,80.0401621273915,76.6976139422723,83.3827103125107,-0.0893755951107987,LogisticModel
0.815,80.060487708807,76.7202321627078,83.4007432549062,-0.0888423912600234,LogisticModel
0.816,80.0807747803826,76.7428041328211,83.4187454279441,-0.0883098412461388,LogisticModel
0.817,80.1010234511605,76.7653299923452,83.4367169099758,-0.0877779434675845,LogisticModel
0.818,80.1212338297674,76.7878098790207,83.4546577805141,-0.087246696328677,LogisticModel
0.819,80.1414060244166,76.810243932518,83.4725681163152,-0.0867160982395815,LogisticModel
0.82,80.1615401429098,76.8326322887119,83.4904479971077,-0.0861861476162833,LogisticModel
0.821,80.1816362926393,76.8549750840358,83.5082975012428,-0.0856568428805592,LogisticModel
0.822,80.2016945805898,76.8772724583941,83.5261167027855,-0.0851281824599496,LogisticModel
0.823,80.2217151133404,76.8995245442098,83.5439056824709,-0.0846001647877301,LogisticModel
0.824,80.2416979970665,76.9217314783389,83.5616645157942,-0.0840727883028842,LogisticModel
0.825,80.2616433375421,76.94389339612,83.5793932789641,-0.0835460514500749,LogisticModel
0.826,80.2815512401409,76.9660104323785,83.5970920479033,-0.0830199526796178,LogisticModel
0.827,80.3014218098392,76.9880827195022,83.6147609001762,-0.0824944904474533,LogisticModel
0.828,80.3212551512171,77.0101103932456,83.6323999091885,-0.0819696632151198,LogisticModel
0.829,80.3410513684605,77.0320935839864,83.6500091529346,-0.0814454694497264,LogisticModel
0.83,80.3608105653633,77.0540324245964,83.6675887061303,-0.0809219076239261,LogisticModel
0.831,80.3805328453291,77.0759270492057,83.6851386414524,-0.080398976215889,LogisticModel
0.832,80.4002183113727,77.0977775877904,83.7026590349549,-0.079876673709276,LogisticModel
0.833,80.4198670661224,77.1195841725619,83.720149959683,-0.0793549985932124,LogisticModel
0.834,80.4394792118219,77.1413469314298,83.7376114922141,-0.0788339493622613,LogisticModel
0.835,80.4590548503317,77.1630659957372,83.7550437049261,-0.0783135245163979,LogisticModel
0.836,80.478594083131,77.1847414962128,83.7724466700492,-0.0777937225609836,LogisticModel
0.837,80.49809701132,77.2063735612598,83.7898204613802,-0.07727454200674,LogisticModel
0.838,80.517563735621,77.2279623188657,83.8071651523763,-0.0767559813697235,LogisticModel
0.839,80.5369943563806,77.2495078972713,83.82448081549,-0.0762380391712997,LogisticModel
0.84,80.5563889735715,77.2710104234367,83.8417675237064,-0.0757207139381184,LogisticModel
0.841,80.575747686794,77.292470025749,83.8590253478391,-0.0752040042020878,LogisticModel
0.842,80.5950705952779,77.3138868284077,83.8762543621482,-0.0746879085003505,LogisticModel
0.843,80.6143577978842,77.3352609605292,83.8934546352393,-0.0741724253752577,LogisticModel
0.844,80.6336093931071,77.356592548193,83.9106262380211,-0.073657553374345,LogisticModel
0.845,80.6528254790751,77.3778817131775,83.9277692449727,-0.0731432910503077,LogisticModel
0.846,80.6720061535534,77.3991285851829,83.9448837219239,-0.0726296369609765,LogisticModel
0.847,80.6911515139453,77.4203332830811,83.9619697448094,-0.0721165896692931,LogisticModel
0.848,80.7102616572936,77.4414959330916,83.9790273814957,-0.0716041477432862,LogisticModel
0.849,80.729336680283,77.4626166596413,83.9960567009247,-0.0710923097560473,LogisticModel
0.85,80.748376679241,77.4836955830344,84.0130577754477,-0.0705810742857073,LogisticModel
0.851,80.7673817501401,77.5047328300898,84.0300306701905,-0.0700704399154121,LogisticModel
0.852,80.7863519885993,77.5257285191715,84.0469754580271,-0.0695604052332999,LogisticModel
0.853,80.8052874898855,77.5466827718912,84.0638922078798,-0.069050968832477,LogisticModel
0.854,80.8241883489155,77.56759571173,84.0807809861011,-0.068542129310995,LogisticModel
0.855,80.8430546602576,77.5884674567235,84.0976418637918,-0.0680338852718274,LogisticModel
0.856,80.8618865181329,77.6092981292087,84.1144749070572,-0.0675262353228468,LogisticModel
0.857,80.8806840164172,77.6300878477923,84.1312801850421,-0.0670191780768018,LogisticModel
0.858,80.8994472486425,77.6508367321663,84.1480577651187,-0.0665127121512946,LogisticModel
0.859,80.9181763079985,77.6715449030919,84.1648077129051,-0.0660068361687577,LogisticModel
0.86,80.9368712873344,77.6922124736369,84.1815301010319,-0.0655015487564323,LogisticModel
0.861,80.9555322791604,77.7128395681855,84.1982249901353,-0.0649968485463452,LogisticModel
0.862,80.974159375649,77.7334263004434,84.2148924508546,-0.0644927341752872,LogisticModel
0.863,80.9927526686371,77.7539727882409,84.2315325490332,-0.0639892042847904,LogisticModel
0.864,81.0113122496268,77.7744791510055,84.248145348248,-0.0634862575211067,LogisticModel
0.865,81.0298382097876,77.794945500771,84.2647309188043,-0.0629838925351858,LogisticModel
0.866,81.0483306399579,77.8153719564713,84.2812893234444,-0.0624821079826534,LogisticModel
0.867,81.0667896306458,77.835758631073,84.2978206302186,-0.0619809025237897,LogisticModel
0.868,81.0852152720316,77.8561056412374,84.3143249028257,-0.0614802748235081,LogisticModel
0.869,81.1036076539684,77.8764131037599,84.330802204177,-0.0609802235513335,LogisticModel
0.87,81.1219668659844,77.8966811290227,84.3472526029462,-0.0604807473813815,LogisticModel
0.871,81.1402929972839,77.9169098309643,84.3636761636035,-0.0599818449923368,LogisticModel
0.872,81.1585861367486,77.9370993268026,84.3800729466947,-0.0594835150674328,LogisticModel
0.873,81.1768463729398,77.9572497248447,84.3964430210349,-0.0589857562944303,LogisticModel
0.874,81.1950737940991,77.9773611405882,84.4127864476099,-0.058488567365597,LogisticModel
0.875,81.2132684881502,77.9974336858838,84.4291032904167,-0.0579919469776868,LogisticModel
0.876,81.2314305427006,78.0174674710043,84.4453936143969,-0.0574958938319193,LogisticModel
0.877,81.2495600450424,78.0374626093888,84.4616574806961,-0.0570004066339595,LogisticModel
0.878,81.2676570821544,78.0574192096223,84.4778949546864,-0.0565054840938974,LogisticModel
0.879,81.2857217407029,78.0773373836408,84.4941060977649,-0.0560111249262281,LogisticModel
0.88,81.3037541070437,78.0972172414473,84.51029097264,-0.0555173278498314,LogisticModel
0.881,81.3217542672231,78.1170588932474,84.5264496411988,-0.0550240915879521,LogisticModel
0.882,81.3397223069794,78.1368624456119,84.542582168347,-0.0545314148681803,LogisticModel
0.883,81.3576583117446,78.1566280110639,84.5586886124252,-0.0540392964224314,LogisticModel
0.884,81.3755623666451,78.1763556961682,84.5747690371219,-0.0535477349869269,LogisticModel
0.885,81.3934345565037,78.1960456096011,84.5908235034064,-0.0530567293021746,LogisticModel
0.886,81.4112749658409,78.2156978579134,84.6068520737684,-0.0525662781129493,LogisticModel
0.887,81.4290836788759,78.2353125505978,84.6228548071539,-0.0520763801682736,LogisticModel
0.888,81.4468607795282,78.2548897940116,84.6388317650449,-0.051587034221399,LogisticModel
0.889,81.4646063514191,78.2744296938082,84.6547830090299,-0.0510982390297863,LogisticModel
0.89,81.4823204778725,78.2939323559242,84.6707085998209,-0.0506099933550872,LogisticModel
0.891,81.5000032419171,78.3133978870262,84.6866085968079,-0.0501222959631252,LogisticModel
0.892,81.5176547262867,78.3328263930812,84.7024830594922,-0.0496351456238769,LogisticModel
0.893,81.5352750134225,78.3522179773811,84.7183320494638,-0.0491485411114536,LogisticModel
0.894,81.5528641854735,78.3715727463021,84.7341556246449,-0.0486624812040823,LogisticModel
0.895,81.5704223242986,78.3908908029501,84.7499538456471,-0.048176964684088,LogisticModel
0.896,81.5879495114674,78.4101722526014,84.7657267703335,-0.0476919903378748,LogisticModel
0.897,81.6054458282617,78.4294171970501,84.7814744594732,-0.0472075569559079,LogisticModel
0.898,81.6229113556766,78.448625740877,84.7971969704762,-0.0467236633326956,LogisticModel
0.899,81.640346174422,78.467797986812,84.812894362032,-0.0462403082667712,LogisticModel
0.9,81.6577503649237,78.4869340351701,84.8285666946773,-0.0457574905606751,LogisticModel
0.901,81.6751240073248,78.5060339914205,84.844214023229,-0.045275209020937,LogisticModel
0.902,81.6924671814868,78.5250979542685,84.859836408705,-0.0447934624580583,LogisticModel
0.903,81.709779966991,78.544126027414,84.8754339065679,-0.0443122496864942,LogisticModel
0.904,81.7270624431395,78.5631183098695,84.8910065764095,-0.0438315695246367,LogisticModel
0.905,81.744314688957,78.5820749039468,84.9065544739672,-0.0433514207947967,LogisticModel
0.906,81.7615367831912,78.6009959085555,84.9220776578268,-0.0428718023231869,LogisticModel
0.907,81.7787288043146,78.6198814236037,84.9375761850255,-0.0423927129399047,LogisticModel
0.908,81.7958908305257,78.6387315508405,84.9530501102109,-0.0419141514789149,LogisticModel
0.909,81.8130229397499,78.6575463863962,84.9684994931035,-0.0414361167780325,LogisticModel
0.91,81.830125209641,78.6763260312875,84.9839243879944,-0.0409586076789064,LogisticModel
0.911,81.8471977175821,78.6950705821049,84.9993248530594,-0.0404816230270017,LogisticModel
0.912,81.8642405406873,78.7137801383108,85.0147009430639,-0.0400051616715838,LogisticModel
0.913,81.8812537558023,78.7324547981861,85.0300527134185,-0.039529222465701,LogisticModel
0.914,81.8982374395058,78.7510946576331,85.0453802213785,-0.0390538042661686,LogisticModel
0.915,81.9151916681108,78.7696998159733,85.0606835202483,-0.0385789059335517,LogisticModel
0.916,81.9321165176657,78.7882703671147,85.0759626682167,-0.0381045263321496,LogisticModel
0.917,81.9490120639553,78.806806409605,85.0912177183055,-0.0376306643299789,LogisticModel
0.918,81.965878382502,78.8253080379944,85.1064487270097,-0.0371573187987576,LogisticModel
0.919,81.9827155485674,78.843775350078,85.1216557470569,-0.0366844886138887,LogisticModel
0.92,81.9995236371526,78.8622084392796,85.1368388350257,-0.0362121726544447,LogisticModel
